Approved symbol	Previous symbols	Pubmed IDs	Synonyms
MTND5P28			
MTND5P29			
MTND5P30			
MTND5P31			
MTND5P32			
MTND5P33			
MTND5P34			
MTND5P35			
MTND5P36			
MTND5P37			
MTND5P38			
MTND5P39			
MTND5P40			
MTND5P41			
MTND5P42			
MTND5P43			
MTND5P44			
MTND5P45			
MTND5P46			
MTND6P1			
MTND6P2			
MTND6P3			
MTND6P4			
MTND6P5			
MTND6P6			
MTND6P7			
MTND6P8			
MTND6P9			
MTND6P10			
MTND6P11			
MTND6P12			
MTND6P13			
MTND6P14			
MTND6P15			
MTND6P16			
MTND6P17			
MTND6P18			
MTND6P19			
MTND6P20			
MTND6P21			
MTND6P22			
MTND6P23			
MTND6P24			
MTND6P25			
MTND6P26			
MTND6P27			
MTND6P28			
MTND6P29			
MTND6P30			
MTND6P31			
MTND6P32			
MTND6P33			
MTND6P34			
MTND6P35			
MTND6P36			
MTND6P37			
MTNR1A		7558006	MEL-1A-R
MTNR1B			
MTO1		12011058, 22608499	
MTOHR			
MTOLR			
MTOR	FRAP, FRAP2, FRAP1	8008069, 8660990	RAFT1, RAPT1, FLJ44809
MTOR-AS1			
MTPAP	PAPD1	12239557, 15769737, 15547249	FLJ10486, mtPAP, SPAX4, TENT6
MTPN		11474205	MYOTROPHIN, GCDP, V-1
MTR		8968735	cblG
MTREX	KIAA0052, SKIV2L2	16782053, 21855801	Mtr4, Dob1, fSAP118
MTRF1		9838146, 10773675	RF1, MTTRF1, MGC47721
MTRF1L			HMRF1L, mtRF1a
MTRF1LP1			
MTRF1LP2			
MTRNR2L1		19477263	
MTRNR2L2		19477263	
MTRNR2L3		19477263	
MTRNR2L4		19477263	
MTRNR2L5		19477263	
MTRNR2L6		19477263	
MTRNR2L7		19477263	
MTRNR2L8		19477263	
MTRNR2L9		19477263	
MTRNR2L10		19477263	
MTRNR2L11		19477263	
MTRNR2L12		19477263, 27853370	
MTRNR2L13		19477263	
MTRNR3			
MTRR		9501215	cblE
MTSS1		12482861, 12082544	KIAA0429, MIMA, MIMB, MIM
MTSS2	MTSS1L	20875796	ABBA-1, LOC92154, ABBA
MTTAS			
MTTER			
MTTFH			
MTTFL			
MTTFX			
MTTFY			
MTTP	MTP	8111381	ABL
MTURN	C7orf41	24095902	FLJ25903, Ells1
MTUS1		10574462, 12692079, 20889352	MTSG1, KIAA1288, DKFZp586D1519, FLJ14295, ATIP1, MP44, ATBP, ICIS, ATIP3
MTUS2	KIAA0774	19543227, 20889352	TIP150, CAZIP, ICIS
MTUS2-AS1			
MTUS2-AS2			
MTX1	MTX	7753840	MTXN
MTX1P1	MTXP, MTX1P	7753840	
MTX2		10381257, 17624330	
MTX3		15087125	
MUC1	PUM, MCKD1	1697589, 23396133	CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD
MUC2		15081123	
MUC3A	MUC3	2393399, 10973822	
MUC3B		10973822	
MUC4		1673336	
MUC5AC		7826332, 9588204	MUC5
MUC5B	MUC5	9804771	MG1
MUC5B-AS1		29670111	
MUC6		7680650	
MUC7		8838308	FLJ27047, MG2
MUC8		8002930, 9070607	
MUC12	MUC11	10463611	
MUC13	DRCC1	11278439	
MUC15		12047385	
MUC16		11369781	CA125, FLJ14303
MUC17		11855812	
MUC19		12882755, 18184611, 17667140	FLJ35746
MUC20		14565953	FLJ14408, KIAA1359
MUC20-OT1			
MUC20P1			
MUC21	C6orf205	17977904	bCX31G15.2
MUC22		20981447	PBMUCL1
MUCL1		12019145	SBEM
MUCL3	DPCR1	12185533, 10677310	PBLT, bCX105N19.6, C6orf37
MUL1	C1orf166	18591963, 12761501, 18213395, 18207745	FLJ12875, MULAN, RNF218, MAPL, GIDE
MUPP			
MUS81		11741546, 12374758	FLJ44872, SLX3
MUSK		7546737	
MUSTN1			Mustang
MUTYH		7823963, 10684930	MYH
MVB12A	FAM125A	18005716, 20654576, 22232651	FLJ32495
MVB12B	C9orf28, FAM125B	18005716, 20654576, 22232651	FLJ00001
MVD		8626466	MPD
MVK		1377680	LRBP, MK
MVP		7585126	LRP, VAULT1
MX1		17570575	IFI-78K, MxA
MX2		2481229, 8798556	MXB
MXD1	MAD	7829091	MAD1, bHLHc58
MXD3			MAD3, bHLHc13
MXD4		8521822	MAD4, MSTP149, MST149, bHLHc12
MXI1		7959753	MXD2, MAD2, MXI, bHLHc11
MXRA5		12101425	DKFZp564I1922
MXRA5Y	MXRA5P, MXRA5P1	12815422	ADLICANP
MXRA7			FLJ46603, TMAP1, PS1TP1
MXRA8		14603461	DKFZp586E2023
MYADM		10733104, 12075932	
MYADML			
MYADML2			LOC255275
MYB		17599807	c-myb
MYB-AS1	MYBAS, MYB-AS		RP1-32B1.3, NCRNA00209
MYBBP1A		10644447	P160, PAP2, FLJ37886, Pol5
MYBL1			AMYB, A-myb
MYBL2		8812502	BMYB, B-MYB
MYBPC1		8375400, 16918501	
MYBPC2		8375400	MYBPCF, MYBPC, MGC163408
MYBPC3	CMH4	7744002, 8358441	MYBP-C, FHC
MYBPH		8486381	
MYBPHL		28778945	
MYC			c-Myc, bHLHe39, MYCC
MYCBP		9797456	AMY-1
MYCBP2		9689053, 15057823	PAM, KIAA0916, FLJ10106
MYCBP2-AS1			
MYCBP2-AS2			
MYCBPAP		12151104	AMAP-1, DKFZp434N1415
MYCL	MYCL1	8978772	LMYC, bHLHe38
MYCLP1	MYCL2, MYCL1P1		
MYCLP2			
MYCLP3	MYCL3	10100857	
MYCN	NMYC	20153925	bHLHe37, N-myc, MYCNOT
MYCNOS		1419902, 24391509, 26156430	NCYM, N-CYM, MYCN-AS1
MYCNUT	MYCNUN	24906397, 27748806	lncUSMycN
MYCT1		26710964	MTLC, FLJ21269
MYD88		9013863	
MYDGF	IL27, IL27w, C19orf10	17362502, 21128247, 25581518	R33729_1, IL25, SF20, IL-25, IL-27
MYEF2		10718198, 2601707	MEF-2, FLJ11213, KIAA1341, HsT18564
MYEOV		10753852	OCIM
MYF5		8978788, 12105204	bHLHc2
MYF6		8978788	MRF4, bHLHc4
MYH1		6304733	MYHSA1, MYHa, MyHC-2X/D, MGC133384
MYH2	IBM3	7545970, 11889243	MYH2A, MYHSA2, MyHC-IIa, MYHas8, MyHC-2A
MYH3		2726495	MYHC-EMB, MYHSE1, HEMHC, SMHCE
MYH4		8518795	MYH2B, MyHC-2B, MyHC-IIb
MYH6		2144212	
MYH7	CMH1, MPD1	2494889, 8483915, 15322983	CMD1S
MYH7B		11919279, 15014174	KIAA1512, dJ756N5.1, MYH14, MHC14
MYH8		2373371	MyHC-peri, MyHC-pn
MYH9	DFNA17	1860190, 11023810	NMMHCA, NMHC-II-A, MHA, FTNS, EPSTS
MYH10		1860190	NMMHCB
MYH11		7684189	SMMHC, SMHC
MYH13		9806854	MyHC-eo
MYH14	DFNA4	12909352, 15015131, 17940200	FLJ13881, KIAA2034, MHC16, MYH17
MYH15		15014174, 15042088	KIAA1000
MYH16	MYH5	11919279, 15014174	MHC20, MYH16P
MYHAS			
MYL1		2304459, 3422212	
MYL2		1386340	CMH10
MYL3		1479618, 2784124	CMH8, VLC1, MLC1V, MLC1SB
MYL4		3417683	ALC1, AMLC, GT1, PRO1957
MYL5		1284596	
MYL6		8188229, 2304459, 2722814	ESMLC, MLC3NM, MLC1SM
MYL6B		2602161, 2304459	MLC1SA
MYL6BP1			
MYL6P1	MYL6P		
MYL6P2			
MYL6P3			
MYL6P4			
MYL6P5			
MYL7		8207020	MYLC2A, MYL2A
MYL8P		9545376	BING3
MYL9		2526655	MYRL2, MLC2, LC20, MRLC1
MYL10		1628631	MGC3479, MYLC2PL, PLRLC
MYL12A		2216787	MLCB, MYL2B, MRLC3, MRCL3
MYL12AP1			
MYL12B		11942626	MRLC2
MYL12BP1			
MYL12BP2			
MYLIP		10593918, 11162443, 19688294	MIR, IDOL
MYLK		8575746	MLCK, smMLCK, MYLK1, MLCK1
MYLK-AS1			
MYLK-AS2			
MYLK2			skMLCK, KMLC, MLCK2
MYLK3		17885681	caMLCK, MLCK
MYLK4			SgK085
MYLKP1	MYLKP	10036190, 21441351	
MYLPF		6179945	MRLC2, HUMMLC2B, MYL11
MYMK	TMEM8C		TMEM226
MYMX		28386024, 28569745, 28569755	MINION
MYMY1	MYMY	9973290	
MYMY3		15362573	
MYNN		10873615	SBBIZ1, ZBTB31, ZNF902
MYO1A	MYHL, DFNA48	8884266, 12736868	
MYO1B		8022818, 8449985	myr1
MYO1C		9119401	myr2
MYO1D		8884266	KIAA0727, myr4, PPP1R108
MYO1E		8884266	MYO1C, HuncM-IC, MGC104638
MYO1F		9119401, 8884266	
MYO1G			HA-2
MYO1H			FLJ37587
MYO3A	DFNB30	10936054	
MYO3B			
MYO3B-AS1			
MYO5A	MYH12	8188282, 8022818	MYO5, GS1, MYR12
MYO5B		8884266, 17462998	KIAA1119
MYO5BP1			
MYO5BP2			
MYO5BP3			
MYO5C		11870218	MGC74969
MYO6	DFNA22, DFNB37	9259267, 11468689	KIAA0389
MYO7A	USH1B, DFNB2, DFNA11	8884266	NSRD2
MYO7B		8022818, 8884266	
MYO9A		10409426	FLJ11061, FLJ13244, MGC71859
MYO9B	CELIAC4	9226381	
MYO10		8884266	KIAA0799
MYO15A	DFNB3, MYO15	9603736	
MYO15B		11294886	MYO15BP
MYO16		11588169, 17029291, 21946561	MYR8, KIAA0865, Myo16b, NYAP3, PPP1R107
MYO16-AS1			
MYO16-AS2			
MYO18A		12761286	KIAA0216, MysPDZ
MYO18B		12209013, 12547197	BK125H2.1
MYO19	MYOHD1	17877792, 19932026	FLJ22865
MYOC	GLC1A	9169133, 9005853	TIGR, JOAG1
MYOCD		11439182, 12397177	MYCD
MYOCOS			
MYOD1	MYF3		PUM, MYOD, bHLHc1
MYOF	FER1L3	10607832, 10995573, 17702744	KIAA1207
MYOG	MYF4	10329008	bHLHc3
MYOM1		9806852	
MYOM2			
MYOM3		18177667	FLJ35961
MYORG	KIAA1161	10574461, 19706595	NET37
MYOSLID		27444199	
MYOSLID-AS1			
MYOT	TTID, LGMD1A, LGMD1	10486214, 10369880	
MYOZ1	MYOZ	11171996, 10984498	FATZ, CS-2
MYOZ2	C4orf5	8619474, 9110174	CS-1, FATZ-2
MYOZ3		11842093	CS-3, CS3, FRP3, FATZ-3
MYP1		15197065	
MYP2		9634508, 15723005	
MYP3		9792869, 15592176, 18360688	
MYP4		11836361	
MYP5		12714612	
MYP7		15307048	
MYP8		15307048	
MYP9		15307048	
MYP10		15307048	
MYP11		16052171	
MYP12		15980214, 17898262	
MYP13		16648373, 17351708	
MYP14		16501916	
MYP15		17962440	
MYP16		18421076	
MYP17		18293391, 19122830	
MYP18		19204786	
MYPN		11309420, 12482578	MYOP
MYPOP		15615774	P42pop
MYRF	C11orf9	10828591, 12384578	Ndt80, pqn-47, MRF
MYRFL	C12orf15, C12orf28		FLJ25056, bcm1377
MYRIP		11964381, 12221080	DKFZp586F1018, exophilin-8, MyRIP, SLAC2-C, SLAC2C
MYSA		8494331	
MYSM1		11572484, 17428495, 17707232	KIAA1915
MYT1	PLPB1	1280325, 9268380	MTF1, MYTI, ZC2HC4A, NZF2, ZC2H2C1
MYT1L		9373037	KIAA1106, NZF1, ZC2HC4B, ZC2H2C2
MYT1L-AS1			
MYZAP		20093627, 21992629, 22160502	MYOZAP, Gup, Gup1, GCOM1
MZB1		22573353, 12573802, 11350957, 21093319, 21688198	PACAP, MGC29506, HSPC190, pERp1, MEDA-7
MZF1	ZNF42	1860835	ZSCAN6, MZF1B, MZF-1, Zfp98
MZF1-AS1			
MZT1	C13orf37	20360068	LOC440145, FLJ21869, MGC150539, RP11-11C5.2, MOZART1
MZT1P1			
MZT1P2			
MZT2A	FAM128A	20360068	MOZART2A
MZT2B	FAM128B	20360068	FLJ14346, MOZART2B
N4BP1		9734811, 11717310	
N4BP2		10718198, 11717310	B3BP
N4BP2L1		8812419	CG018
N4BP2L2		8812419	CG005, PFAAP5
N4BP2L2-IT2		8812419	CG030
N4BP3		9205841, 11717310	LZTS4
N6AMT1	C21orf127, HEMK2	21193388	PRED28, N6AMT, MTQ2
NAA10	ARD1, ARD1A	7981673, 19420222, 19660095	DXS707, TE2
NAA11	ARD1B	16638120, 19660095	ARD2, hARD2
NAA15	NARG1	12140756, 19420222, 19660095	TBDN100, NATH, FLJ13340
NAA16	NARG1L	19480662, 19660095	FLJ22054, MGC40612, PRO2435
NAA20	NAT5	18570629, 19660095, 22814378	dJ1002M8.1, NAT3
NAA25	C12orf30	18570629, 19660095, 22814378	FLJ13089
NAA30	C14orf35, NAT12	19398576, 19660095	FLJ35355, MAK3, Mak3p
NAA35	MAK10	19398576, 19660095	FLJ21613, FLJ22643, bA379P1.1
NAA38	LSMD1	19398576, 19660095	MGC14151, PFAAP2
NAA40	NAT11	19660095, 21935442	FLJ13848
NAA50	MAK3, NAT13	16507339, 17502424, 19660095, 19744929	FLJ13194, NAT5, San
NAA60	NAT15	21750686, 25732826	FLJ14154
NAA80	NAT6	11929860, 11085536, 29581253, 29581307	FUS2
NAAA	ASAHL	10610717, 1446826	
NAALAD2		10085079	NAALADASE2, GCPIII
NAALADL1		10085079	
NAALADL2		15168106	
NAALADL2-AS1			
NAALADL2-AS2			
NAALADL2-AS3			
NAB1		7624335, 8668170, 9418898	
NAB2		8668170, 8649813	MADER
NABP1	OBFC2A		FLJ22833, DKFZp667M1322, FLJ13624, MGC111163, SSB2, hSSB2, SOSS-B2
NABP2	OBFC2B		MGC2731, SSB1, hSSB1, SOSS-B1
NACA		8047162	NACA1
NACA2	NACAL	12406326	MGC71999
NACA3P			NACA3
NACA4P	NACAP1		FKSG17
NACAD			KIAA0363
NACAP2			
NACAP5			
NACAP6			
NACAP7			
NACAP8	NACAP3		
NACAP9	NACAP4		
NACAP10			
NACC1	BTBD14B	28132692	NAC1, NAC-1, BEND8, BTBD30
NACC2	BTBD14A	12477932	MGC23427, BEND9, BTBD31
NADK		11594753	FLJ13052
NADK2	C5orf33, NADKD1	23616928	FLJ30596, MNADK
NADK2-AS1	NADKD1-AS1		
NADSYN1		12547821	FLJ10631
NAE1	APPBP1	8626687, 12740388	ula-1, APP-BP1
NAF1		16618814, 16601202	
NAGA			D22S674
NAGK		10824116	GNK
NAGLU			NAG
NAGPA		10551838, 12058031	APAA, UCE
NAGPA-AS1			
NAGS		15050968, 12459178	AGAS, ARGA, NAT7
NAIF1	C9orf90	14702039, 16378748	DKFZp762G199, bA379C10.2
NAIP	BIRC1	7813013	NLRB1
NALCN	VGCNL1	17448995	bA430M15.1, CanIon
NALCN-AS1			
NALT1	MIR4674HG, LINC01573	26330272	TCONS_l2_00029132
NAMA		17415708	
NAMPT	PBEF1	8289818	PBEF
NAMPTP1	PBEF2, NAMPTL	8289818	bA92J19.4
NAMPTP2			
NAMPTP3			
NANOG		12787505, 12787504	FLJ12581, FLJ40451
NANOGNB		21679462	
NANOGNBP1			
NANOGNBP2			
NANOGNBP3			
NANOGP1		15108323, 15233988	NANOG2
NANOGP2		15108323, 15233988	NANOGP4
NANOGP3			
NANOGP4		15108323, 15233988	NANOGP2
NANOGP5		15233988	
NANOGP6		15233988	
NANOGP7		15108323, 15233988	NANOGP3
NANOGP8		23173096	
NANOGP9			
NANOGP10			
NANOGP11		15233988	
NANOS1		12690449	NOS1, ZC2HC12A
NANOS2		12947200, 12690449	NOS2, ZC2HC12B
NANOS3			NANOS1L, NOS3, ZC2HC12C
NANP	C20orf147, HDHD4	16237198	dJ694B14.3, MGC26833
NANS		10749855, 27213289	SAS
NAP1L1		8297347	NRP, NAP1, NAP1L, MGC8688, MGC23410
NAP1L1P1			
NAP1L1P2			
NAP1L1P3			
NAP1L2		8789438	BPX, MGC26243
NAP1L3		8976385	MB20, NPL3, MGC26312
NAP1L4		8923002	NAP2
NAP1L4P1			
NAP1L4P2			
NAP1L4P3			
NAP1L5		12383514	DRLM
NAP1L6			FLJ33596
NAPA		9269766	
NAPA-AS1			
NAPB		8455721	SNAP-BETA, SNAPB
NAPEPLD		14634025, 15820312, 18067139	FMP30, C7orf18, NAPE-PLD
NAPG		9269766	
NAPGP1			
NAPGP2			
NAPRT	NAPRT1	17604275, 21742010	PP3856
NAPSA			NAP1, NAPA, Kdap, KAP
NAPSB		9877162, 10591213	NAP1L, NAP2, NAPB, NAPSBP
NARF		10514485, 15667261	FLJ10067, DKFZp434G0420, IOP2
NARF-AS1		28732507	ENST00000582249.1
NARF-IT1	NARF-OT1		
NARS		6836455, 9421509	NARS1
NARS2	DFNB94	15779907, 25807530	FLJ23441, SLM5
NARSP1	NARSP		
NARSP2			
NASP		1426632	FLB7527, FLJ31599, FLJ35510, MGC19722, MGC20372, MGC2297, DKFZp547F162, PRO1999
NASPP1		11674998	
NAT1	AAC1	7773298	
NAT2	AAC2	7773298	
NAT8		11397015, 9852678, 19011241	Hcml1, TSC501, GLA, ATase2
NAT8B		11397015, 16395595, 19011241	Hcml2, NAT8BP, CML2
NAT8L		11397015, 24105954, 19807691	FLJ37478, Hcml3
NAT9		14608357, 21688147	DKFZP564C103
NAT10		14592445, 21177859, 25653167	hALP, FLJ10774, FLJ12179, NET43, KIAA1709, Kre33
NAT14		10873651	KLP1
NAT16	C7orf52	24121108	FLJ39237
NATD1	C17orf103	12477932	MGC33894, Gtlf3b
NATP	AACP	2340091, 9284941	NATP1
NAV1		12079279, 12062803	FLJ12560, FLJ14203, KIAA1151, MGC14961, POMFIL3, steerin-1, DKFZp781D0314
NAV2		12079279, 12062803	FLJ10633, FLJ11030, HELAD1, KIAA1419, POMFIL2, RAINB1, FLJ23707
NAV2-AS1			
NAV2-AS2			
NAV2-AS3			
NAV2-AS4			
NAV2-AS5			
NAV2-IT1			
NAV3		12079279, 12062803	KIAA0938, POMFIL1
NAXD	CARKD	21994945	LP3298, FLJ10769
NAXE	APOA1BP	11991719, 17533573, 21994945	AIBP, MGC119143, MGC119144, MGC119145, YJEFN1
NBAS		9926938, 12706883	NAG
NBAT1	CASC14	25859549, 26378045, 29771423	NBAT-1
NBDY	LINC01420	27918561	NoBody
NBEA		10501977	KIAA1544, BCL8B, FLJ10197, LYST2
NBEAL1	ALS2CR17, ALS2CR16	15193433	MGC164581
NBEAL2		21765412, 21765411	KIAA0540
NBEAP1	BCL8	9159141	BCL8A
NBEAP2		12160729	BCL8D
NBEAP3		12160729	BCL8C
NBEAP4			
NBEAP5			
NBEAP6			
NBL1		7633401, 24810382	D1S1733E, NB, DAN, NO3, DAND1
NBN	NBS, NBS1	9590181, 9590180	ATV, AT-V2, AT-V1
NBPF1		11214970, 16079250	FLJ20719, KIAA1693
NBPF2P		16079250	
NBPF3		11230166, 16079250	AE2
NBPF4		16079250	FLJ32833
NBPF5P	NBPF5	16079250	
NBPF6		16079250	
NBPF7		16079250	
NBPF8	NBPF8P	16079250	
NBPF9		16079250	AE01
NBPF10		16079250	AG1
NBPF11	NBPF24	16079250	
NBPF12	KIAA1245	11948409	COAS1
NBPF13P		16079250	
NBPF14		8619474, 9110174, 16079250	DJ328E19.C1.1
NBPF15	NBPF16	16079250	MGC8902
NBPF17P	NBPF23P, NBPF23	16079250	
NBPF18P		16079250	
NBPF19		16079250	
NBPF20		16079250	
NBPF21P		16079250	
NBPF22P		16079250	MGC48637
NBPF25P			
NBPF26		24885025	
NBR1	M17S2	8069304, 26112016	CA125, KIAA0049, 1A1-3B
NBR2		9215675, 15777733, 26999735	NCRNA00192
NCALD		11267673	
NCAM1			NCAM, CD56
NCAM1-AS1			
NCAM2		9226371	NCAM21, MGC51008
NCAN	CSPG3	1326557, 21353194	
NCAPD2		8590280, 10958694	CNAP1, hCAP-D2, CAP-D2, KIAA0159
NCAPD2P1			
NCAPD3		7584044, 8619474, 14532007	hCAP-D3, CAP-D3, hHCP-6, KIAA0056, FLJ42888, hcp-6
NCAPG		10910072, 11136719	FLJ12450, hCAP-G, CAP-G, YCG1
NCAPG2	LUZP5	14532007	FLJ20311, MTB, CAP-G2, hCAP-G2
NCAPGP1			
NCAPGP2			
NCAPH	BRRN1	9417923	CAP-H, hCAP-H
NCAPH2		10493829	384D8-2, hCAP-H2, CAP-H2
NCBP1	NCBP	7937105, 8812508	CBP80, Sto1
NCBP2		7478990, 7651522, 8682299	NIP1, CBP20, Cbc2
NCBP2-AS1			
NCBP2-AS2		12477932	
NCBP2L			
NCBP3	C17orf85	11412301, 26382858	HSA277841, ELG
NCCRP1		22087255	LOC342897, NCCRP-1, FBXO50
NCDN		15007648	NCDN-1, NCDN-2
NCEH1	AADACL1	10718198	KIAA1363, NCEH
NCF1			p47phox, NOXO2, NCF1A, SH3PXD1A
NCF1B			SH3PXD1B
NCF1C			SH3PXD1C
NCF2			p67phox, NOXA2
NCF4		8839867	p40phox, SH3PXD4
NCF4-AS1		27836685	CTA-833B7.2
NCK1	NCK	7806213, 9737977	NCKalpha
NCK1-DT	NCK1-AS1	29416014	SLC35G2-AS1
NCK2		9737977, 16752908	NCKbeta
NCKAP1		10673335, 12181570, 9344857	Nap1, HEM2, NAP125
NCKAP1L	HEM1	1932118	
NCKAP5		9344857	NAP5, ERIH1, ERIH2
NCKAP5-AS1			
NCKAP5-AS2			
NCKAP5-IT1			
NCKAP5L	KIAA1602		
NCKIPSD		10648423, 10619843	AF3P21, SPIN90, ORF1, WISH, WASLBP, DIP1
NCL		2394707, 3409881	C23, Nsr1
NCLN		11230166, 17261586	NICALIN, NET59
NCLP1			
NCLP2			bA85L21.1
NCMAP	C1orf130	18650334	FLJ42528, MP11
NCOA1		7481822, 9575154	SRC1, F-SRC-1, NCoA-1, KAT13A, RIP160, bHLHe74
NCOA2		9111344, 8670870	TIF2, GRIP1, NCoA-2, KAT13C, bHLHe75
NCOA3		9252329, 9346901	RAC3, AIB1, ACTR, p/CIP, TRAM-1, CAGH16, TNRC16, KAT13B, bHLHe42, SRC-3, SRC3
NCOA4		8290261, 8643607, 24695223	ARA70, RFG, ELE1, PTC3, DKFZp762E1112
NCOA4P1	NCOA4P		
NCOA4P2			
NCOA4P3			
NCOA4P4			
NCOA5		11780052, 11113208	bA465L10.6, CIA
NCOA6		8724849, 8263591	KIAA0181, RAP250, ASC2, AIB3, PRIP, TRBP, NRC
NCOA7		11971969	ERAP140, dJ187J11.3, TLDC4
NCOA7-AS1		23801869	
NCOR1		7566114, 9724795	N-CoR, hCIT529I10, TRAC1, hN-CoR, KIAA1047, MGC104216, PPP1R109
NCOR1P1	C20orf191		bB329D4.2
NCOR1P2			
NCOR1P3			
NCOR2		7566127, 8813722	SMRT, SMRTE, TRAC-1, CTG26, TNRC14
NCR1	LY94	9730896	NK-p46, NKP46, CD335
NCR2	LY95	10049942	NK-p44, CD336
NCR3	LY117	8824804, 11782277	1C7, NKp30, CD337
NCR3LG1		19528259	DKFZp686O24166, B7-H6
NCRUPAR		12084570	ncR-uPAR, ncRuPAR, NCRNA00193
NCS1	FREQ	11092894, 26705828	NCS-1
NCSTN		9039502, 10993067	KIAA0253, APH2
NCSTNP1			
NDC1	TMEM48	16779818, 12958361	FLJ10407, NET3
NDC80	KNTC2	9315664, 12351790	HEC, HEC1, hsNDC80, TID3
NDE1		10940388, 12427674	nudE, FLJ20101, NDE
NDE1P1			
NDE1P2			
NDEL1		11163260, 11163259	NUDEL, MITAP1, NDE1L1, NDE2
NDFIP1		11042109, 11748237	N4WBP5, MGC10924
NDFIP1P1			
NDFIP2		10574461, 12050153	KIAA1165, N4wbp5a
NDFIP2-AS1			
NDN		9302265	HsT16328, PWCR
NDNF	C4orf31	12975309, 20969804	FLJ23191
NDOR1		10625700, 12631275	NR1, bA350O14.9, CIAE1
NDP	EVR2	8252044	norrin
NDP-AS1			
NDRG1	CAP43	9251681, 8939898, 18455888	DRG1, RTP, TDD5, NDR1
NDRG2		10831399	KIAA1248, SYLD
NDRG3		10831399, 17998568	
NDRG4		11352569, 16408304	KIAA1180, SMAP-8
NDST1	HSST	7601448, 9230113	NST1
NDST1-AS1			
NDST2		9601056	NST2, HSST2
NDST3		9915799	HSST3
NDST4		11087757	
NDUFA1		8938439	MWFE, CI-MWFE
NDUFA2		9425316, 9763676	B8
NDUFA3		9878551	B9
NDUFA3P1			
NDUFA3P2			
NDUFA3P3			
NDUFA3P4			
NDUFA3P5			
NDUFA3P6			
NDUFA4		9352085, 22902835, 30030519	MLRQ, CI-9k, COXFA4
NDUFA4L2		22100406, 28429857	NUOMS, FLJ26118
NDUFA4P1			
NDUFA4P2	NDUFA4L		bcm1723
NDUFA5		9763677, 9021153	B13, NUFM, CI-13KD-B, UQOR13, CI-13kB
NDUFA5P1		9021153	
NDUFA5P2			
NDUFA5P3			
NDUFA5P4			
NDUFA5P5			
NDUFA5P6			
NDUFA5P7			
NDUFA5P8			
NDUFA5P9			
NDUFA5P10			
NDUFA5P11			
NDUFA5P12			
NDUFA6		9763676, 9425316	B14, LYRM6, CI-B14, NADHB14
NDUFA6-DT	NDUFA6-AS1		
NDUFA7		9763676	B14.5a
NDUFA8		9763677	PGIV, MGC793
NDUFA8P1			
NDUFA9	NDUFS2L	8486360, 19027726	SDR22E1, CI-39k
NDUFA9P1			dJ106I20.2
NDUFA10		9878551	CI-42k
NDUFA11		12381726	B14.7
NDUFA12		10830904, 9827566	DAP13, B17.2
NDUFA12P1			
NDUFA13		12837546, 10924506, 15367666	CGI-39, CDA016, GRIM-19, GRIM19, B16.6
NDUFAB1		9763677, 9878551	SDAP, FASN2A, ACP, ACP1
NDUFAB1P1			
NDUFAF1		11935339, 10810093	CIA30, CGI-65
NDUFAF2	NDUFA12L	15774466, 16200211, 17383918	B17.2L, MMTN, mimitin
NDUFAF3	C3orf60	19463981, 12653254, 9349717	MGC10527, DKFZP564J0123, E3-3, 2P1
NDUFAF4	C6orf66	18179882, 19463981	HSPC125, bA22L21.1, My013, HRPAP20
NDUFAF4P1			
NDUFAF4P2			
NDUFAF4P3			
NDUFAF4P4			
NDUFAF5	C20orf7	18940309, 21607760	dJ842G6.1
NDUFAF6	C8orf38	22019594, 23509070	MGC40214
NDUFAF7	C2orf56		PRO1853, MidA
NDUFAF8	C17orf89	17287340, 27499296	
NDUFB1		9763677	MNLL, CI-MNLL
NDUFB1P1	NDUFB1P		bcm3095
NDUFB1P2			
NDUFB2		9763677, 9878551	AGGG, CI-AGGG
NDUFB2-AS1			
NDUFB2P1			
NDUFB3		9425316, 11474204	B12
NDUFB3P1		11474204	
NDUFB3P2		11474204	
NDUFB3P3		11474204	
NDUFB3P4		11474204	
NDUFB3P5			
NDUFB4		9878551	B15
NDUFB4P1			
NDUFB4P2			
NDUFB4P3			
NDUFB4P4			
NDUFB4P5			
NDUFB4P6			
NDUFB4P7			
NDUFB4P8			
NDUFB4P9			
NDUFB4P10			
NDUFB4P11			
NDUFB4P12			
NDUFB5		9425316	SGDH, CI-SGDH, MGC12314
NDUFB5P1			
NDUFB5P2			
NDUFB6		9763677, 9760212	B17, CI
NDUFB7		9763677, 10830904	B18, CI-B18, MGC2480
NDUFB8		9763676	ASHI, CI-ASHI
NDUFB8P1			
NDUFB8P2			
NDUFB8P3			
NDUFB9		8661098	B22, UQOR22, LYRM3
NDUFB9P1			
NDUFB9P2			
NDUFB9P3			
NDUFB10		9763677, 9878551	PDSW
NDUFB10P1			
NDUFB10P2			
NDUFB11		10544803, 12381726	ESSS, NP17.3, Np15
NDUFB11P1	NDUFB11P		
NDUFC1		9425316, 9763677	KFYI
NDUFC2		9878551	B14.5b, HLC-1
NDUFC2-KCTD14			
NDUFS1		1935949	CI-75k
NDUFS2		1832859, 9585441	CI-49
NDUFS3		9763677	CI-30
NDUFS4		9463323, 9763677	AQDQ, CI-18
NDUFS5		9763677, 9653160	CI-15k
NDUFS5P1			
NDUFS5P2			
NDUFS5P3			
NDUFS5P4			
